,title,at_scale_year,eis_url,bup_url,bldg_id
28,The Proposed Opening and Co-Location of a New Middle School (16K898) with P.S. 335 Granville T. Woods (16K335) in Building K335 Beginning in the 2018-2019 School Year,2021.0,http://schools.nyc.gov/NR/rdonlyres/FDA2ECC2-7E6B-4D29-9F23-4791CA5EA12C/219608/NewDistrictMS_K335_EIS_vfinal.pdf,,K335
30,BUP Revision @ X093,2018.0,,http://schools.nyc.gov/NR/rdonlyres/11774F23-3BEF-49E2-BD93-FA030033A7DA/218730/X093BUPRevision_vfinal.pdf,X093
32,The Proposed Grade Truncation of P.S. 212 (12X212) in Building X198 from a K-8 School to a K-5 School beginning in the 2018-2019 School Year,2018.0,http://schools.nyc.gov/NR/rdonlyres/11774F23-3BEF-49E2-BD93-FA030033A7DA/218695/Truncationof12X212EIS_vfinal.pdf,,X198
34,The Proposed Grade Expansion of P.S. 207 (10X207) from a K-2 to a K-5 School beginning in the 2018-2019 School Year,2020.0,http://schools.nyc.gov/NR/rdonlyres/11774F23-3BEF-49E2-BD93-FA030033A7DA/218720/10X207GradeExpansionEISvfinal.pdf,,X819
35,The Proposed Partial Re-siting and Co-location of Icahn 7 (84X362) Grades 5-8 with P.S. 107 (08X107) in Building X107 beginning in the 2018-2019 School Year,2019.0,http://schools.nyc.gov/NR/rdonlyres/11774F23-3BEF-49E2-BD93-FA030033A7DA/218689/EIS_84X362_X107_vfinal.pdf,http://schools.nyc.gov/NR/rdonlyres/11774F23-3BEF-49E2-BD93-FA030033A7DA/218728/X107BUPvfinal.pdf,X107
38,"The Proposed Extension of the Temporary Co-location of a New Site of Existing District 75 School, P373R (75R373), with P.S. 6 The Corporal Allan F. Kivlehan School in Building R006 beginning in the 2017-2018 School Year",2020.0,http://schools.nyc.gov/NR/rdonlyres/11774F23-3BEF-49E2-BD93-FA030033A7DA/218702/D75atR006_EIS_vfinal.pdf,,R006
40,The Proposed Grade Truncation of Life Sciences Secondary School (02M655) from a 6-12 School to a 9-12 School Beginning in the 2018-2019 School Year,2018.0,http://schools.nyc.gov/NR/rdonlyres/E7002D0C-320B-4E43-82A6-FACB2E85C79B/218228/02M655TruncationEIS_vFinal.pdf,,M645
41,"The Proposed Consolidation of Technology, Arts, and Sciences Studio (01M301) with School for Global Leaders (01M378) in Building M025 Beginning in the 2018-2019 School Year",2018.0,http://schools.nyc.gov/NR/rdonlyres/E7002D0C-320B-4E43-82A6-FACB2E85C79B/218223/TASSandGlobalLeadersConsolidationEIS_vfinal.pdf,,M025
45,The Proposed Extension of the Re-siting of District 75 School P723X@Astor (75X723) to New Building X909 for the 2017-2018 School Year and Beyond,2018.0,http://schools.nyc.gov/NR/rdonlyres/E7002D0C-320B-4E43-82A6-FACB2E85C79B/218221/ResitingofP723XfromXAIB_vFinal.pdf,,X909
46,BUP Revision @ K202,2018.0, -,http://schools.nyc.gov/NR/rdonlyres/E7002D0C-320B-4E43-82A6-FACB2E85C79B/218229/K202BUPRevision_vfinal.pdf,K202
48,The Proposed Re-siting and Co-location of the Middle School Grades of Achievement First Aspire Charter School (84K680) and the Proposed Opening and Temporary Co-location of Grade Five of Achievement First Linden Charter School (84K788) with P.S. 306 Ethan Allen (19K306) in Building K306 Beginning in the 2018-2019 School Year,2020.0,http://schools.nyc.gov/NR/rdonlyres/E7002D0C-320B-4E43-82A6-FACB2E85C79B/218226/EIS_AFinK306_vfinal.pdf,http://schools.nyc.gov/NR/rdonlyres/E7002D0C-320B-4E43-82A6-FACB2E85C79B/218230/AFatK306BUP_vfinal.pdf,K306
51,The Proposed Temporary Re-Siting of East New York Family Academy (19K409) and Co-location with W. H. Maxwell Career and Technical Education High School (19K660) in Building K660 Beginning in the 2018-2019 School Year,2021.0,http://schools.nyc.gov/NR/rdonlyres/6F9240E9-1A86-43DF-9F55-76F3D70FF18F/213137/ENYFamilyAcademy_ResitingtoK660_vfinal.pdf,,K660
54,BUP Revision @ X193,2019.0, -,http://schools.nyc.gov/NR/rdonlyres/7CA57CEE-995D-4C49-8103-573F4696E874/212654/BUPRevisionCAS_vfinal.pdf,X193
57,The Proposed Opening and Temporary Co-Location of Washington Heights and Inwood Music Community Charter School (84MTBD) in Building M164 Beginning in the 2017- 2018 School Year,2019.0,http://schools.nyc.gov/NR/rdonlyres/7CA57CEE-995D-4C49-8103-573F4696E874/213736/AmendedRevisedCastleBridgeReSitingtoM164EISvfinal1.pdf,http://schools.nyc.gov/NR/rdonlyres/7CA57CEE-995D-4C49-8103-573F4696E874/213734/AmendedBUP_M164BUP_vfinal.pdf,M164
59,The Temporary Co-location of the New York City Charter School of the Arts (84M263) with P.S. 111 Adolph S. Ochs (02M111) in Building M111 for One Year in the 2017-2018 School Year,2017.0,http://schools.nyc.gov/NR/rdonlyres/7CA57CEE-995D-4C49-8103-573F4696E874/209510/NYCCharterSchooloftheArtsColocationinM111_vFinal.pdf,http://schools.nyc.gov/NR/rdonlyres/7CA57CEE-995D-4C49-8103-573F4696E874/209511/BUP_NYCCharterSchooloftheArtsColocationwith02M111_.pdf,M111
61,The Proposed Temporary Re-Siting of a Portion of P.S. R037 (75R037) and Co-location with I.S. R002 George L. Egbert (31R002) in Building R002 Beginning in the 2017-2018 School Year,2019.0,http://schools.nyc.gov/NR/rdonlyres/7438D292-8D01-43D3-9BC4-831C91948709/209175/EIS_D75atR002_vfinal.pdf,,R002
63,The Proposed Re-siting of P.S. Q255 (75Q255) to Building Q397 Beginning in the 2017-2018 School Year,2017.0,http://schools.nyc.gov/NR/rdonlyres/7438D292-8D01-43D3-9BC4-831C91948709/209456/EIS_ResitingD75MPBAmendedvFinal.pdf,,Q397
64,"The Proposed Opening and Co-Location of a New Site of Existing District 75 School, P469X (75X469), with I.S. 313 School of Leadership Development (09X313) and I.S. 339 (09X339) in Building X147 Beginning in the 2017-2018 School Year",2017.0,http://schools.nyc.gov/NR/rdonlyres/7438D292-8D01-43D3-9BC4-831C91948709/209355/EIS_D75atX147_vfinal.pdf,,X147
67,The Proposed Grade Truncation of P.S. 165 Ida Posner (23K165) in Building K165 from a K-8 School to a K-5 School Beginning in the 2017-18 School Year,2017.0,http://schools.nyc.gov/NR/rdonlyres/4D25FD09-A519-4066-B359-6D0934CBAD67/207665/23K165_Grade_Truncation_EIS_vFINAL.pdf,,K165
68,BUP Revision @X107,2017.0,,http://schools.nyc.gov/NR/rdonlyres/4D25FD09-A519-4066-B359-6D0934CBAD67/209631/X107BUPRevisionvfinal.pdf,X107
70,The Proposed Closure of Essence School (19K311) in Building K190 at the End of the 2016-2017 School Year,2017.0,http://schools.nyc.gov/NR/rdonlyres/4D25FD09-A519-4066-B359-6D0934CBAD67/207667/EssenceClosureinK190_EIS_vfinal.pdf,,K190
72,The Proposed Grade Truncation of P.S. 306 Ethan Allen (19K306) in Building K306 from a K-8 School to a K-5 School Beginning in the 2017-2018 School Year,2017.0,http://schools.nyc.gov/NR/rdonlyres/4D25FD09-A519-4066-B359-6D0934CBAD67/207719/19K306_Grade_Truncation_EIS_vfinal.pdf,,K306
73,The Proposed Opening and Co-Location of Brooklyn Emerging Leaders Academy Charter School (84KTBD) with J.H.S. 57 Whitelaw Reid (16K057) and the consolidated Brooklyn Academy of Global Finance (16K688) in Building K057 Beginning in the 2017-2018 School Year,2020.0,http://schools.nyc.gov/NR/rdonlyres/4D25FD09-A519-4066-B359-6D0934CBAD67/207871/AMENDEDEIS_BELA_K057_vfinal.pdf,http://schools.nyc.gov/NR/rdonlyres/4D25FD09-A519-4066-B359-6D0934CBAD67/207872/AMENDEDBUP_BELA_vfinal1.pdf,K057
77,The Proposed Consolidation of Frederick Douglass Academy IV Secondary School (16K393) with The Brooklyn Academy of Global Finance (16K688) in Building K057 Beginning in the 2017-2018 School Year,2020.0,http://schools.nyc.gov/NR/rdonlyres/4D25FD09-A519-4066-B359-6D0934CBAD67/207868/FDAIVandBAGFConsolidation_AMENDEDEIS__vfinal.pdf,http://schools.nyc.gov/NR/rdonlyres/4D25FD09-A519-4066-B359-6D0934CBAD67/207869/AMENDEDBUP_BELA_vfinal.pdf,K057
81,The Proposed Grade Truncation of P.S. 262 El Hajj Malik El Shabazz School (16K262) from a K-8 School to a K-5 School in the 2017-2018 School Year,2017.0,http://schools.nyc.gov/NR/rdonlyres/4D25FD09-A519-4066-B359-6D0934CBAD67/207662/PS262TruncationEISvFinal.pdf,,K262
82,The Proposed Closure of M.S. 584 (16K584) in Building K335 at the end of the 2016-2017 School Year,2017.0,http://schools.nyc.gov/NR/rdonlyres/4D25FD09-A519-4066-B359-6D0934CBAD67/207659/MS584EIS_vFINAL.pdf,,K335
84,The Proposed Consolidation of Francis Perkins Academy (14K632) with Automotive High School (14K610) in Building K610 Beginning in the 2017-2018 School Year,2017.0,http://schools.nyc.gov/NR/rdonlyres/4D25FD09-A519-4066-B359-6D0934CBAD67/207717/AutomotiveConsolidationEIS_Vfinal.pdf,,K610
86,"The Proposed Opening and Co-Location of New Visions Charter High School for the Humanities IV (84QTBD) with Channel View School for Research (27Q262), Rockaway Park High School for Environmental Sustainability (27Q324), Rockaway Collegiate High School (27Q351), P.S. Q256 (75Q256), and Alternate Learning Center - Beach Channel Educational Complex (88Q996) in Building Q410 Beginning in the 2017-2018 School Year",2020.0,http://schools.nyc.gov/NR/rdonlyres/4D25FD09-A519-4066-B359-6D0934CBAD67/207669/EIS_NewVisionsCharterHSHUMIVColocationinQ410_vfina.pdf,http://schools.nyc.gov/NR/rdonlyres/4D25FD09-A519-4066-B359-6D0934CBAD67/207671/BUP_Q410_vFinal.pdf,Q410
93,The Proposed Closure of Monroe Academy for Visual Arts & Design (12X692) in Building X420 at the End of the 2016-2017 School Year,2017.0,http://schools.nyc.gov/NR/rdonlyres/4D25FD09-A519-4066-B359-6D0934CBAD67/207735/12X692ClosureEIS_vfinal.pdf,,X420
98,The Proposed Consolidation of the Young Scholars Academy of the Bronx (11X289) with the North Bronx School of Empowerment (11X287) in Building X113 Beginning in the 2017- 2018 School Year,2017.0,http://schools.nyc.gov/NR/rdonlyres/4D25FD09-A519-4066-B359-6D0934CBAD67/207673/11X28911X287ConsolidationEISvfinal.pdf,,X113
101,The Proposed Closure of Leadership Institute (09X276) in Building X004 at the End of the 2016-2017 School Year,2017.0,http://schools.nyc.gov/NR/rdonlyres/4D25FD09-A519-4066-B359-6D0934CBAD67/207745/ClosureofLeadershipInstitute09X276EIS_vfinal.pdf,http://schools.nyc.gov/NR/rdonlyres/4D25FD09-A519-4066-B359-6D0934CBAD67/207742/BUP_ClosureofLeadershipInstituteatX004_vfinal.pdf,X004
104,The Proposed Closure of J.H.S. 145 Arturo Toscanini (09X145) in Building X145 at the End of the 2016-2017 School Year,2017.0,http://schools.nyc.gov/NR/rdonlyres/4D25FD09-A519-4066-B359-6D0934CBAD67/207737/ClosureofJHS14509X145EIS_vfinal.pdf,http://schools.nyc.gov/NR/rdonlyres/4D25FD09-A519-4066-B359-6D0934CBAD67/207741/BUP_ClosureofJHS145atX145_vfinal.pdf,X145
109,The Proposed Consolidation of Pablo Neruda Academy (08X305) with Bronx Guild (08X452)in Building X450 Beginning in the 2017-2018 School Year,2017.0,http://schools.nyc.gov/NR/rdonlyres/4D25FD09-A519-4066-B359-6D0934CBAD67/207730/08X30508X452ConsolidationEISvfinal.pdf,,X450
118,The Proposod Closure of J.H.S. 162 Lola Rodriguez De Tio (07X162) in Building X162,2017.0,http://schools.nyc.gov/NR/rdonlyres/6BEFF474-86B0-4E17-A9D7-B82ADB4F8A12/207008/X162ClosureEIS_vfinal.pdf,http://schools.nyc.gov/NR/rdonlyres/6BEFF474-86B0-4E17-A9D7-B82ADB4F8A12/207009/BUP_ClosureofJHS162atX162_vfinal.pdf,X162
123,"The Proposed Opening and Co-Location of a New Middle School (07X584) with Hostos-Lincoln Academy of Science (07X500), University Prep Charter High School (84X393) and District 75 Program P10X@X162 (75X010)",2017.0,http://schools.nyc.gov/NR/rdonlyres/6BEFF474-86B0-4E17-A9D7-B82ADB4F8A12/207011/NewDistrictMS07XTBDEIS_vfinal.pdf,http://schools.nyc.gov/NR/rdonlyres/6BEFF474-86B0-4E17-A9D7-B82ADB4F8A12/207014/BUP_ClosureofJHS162atX162_vfinal1.pdf,X162
128,"The Proposed Opening and Co-location of the New York Center for Autism Charter School Bronx (84XTBD) with School of Performing Arts (12X217), Entrada Academy (12X384), and South Bronx Classical Charter School (84X346) in Building X116",2018.0,http://schools.nyc.gov/NR/rdonlyres/6BEFF474-86B0-4E17-A9D7-B82ADB4F8A12/206795/EIS_NYCAOpeninginX116_vfinal.pdf,http://schools.nyc.gov/NR/rdonlyres/6BEFF474-86B0-4E17-A9D7-B82ADB4F8A12/206796/BUP_NYCAatX116_vfinal.pdf,X116
132,"The Proposed Opening and Co-location of Uncommon Leadership Charter High School with Multicultural High School (19K583), Academy for Innovative Technology (19K618), Brooklyn Lab School (19K639), Cypress Hills Collegiate Preparatory School (19K659) and The Urban Assembly School for Collaborative Healthcare (19K764)",2020.0,http://schools.nyc.gov/NR/rdonlyres/6BEFF474-86B0-4E17-A9D7-B82ADB4F8A12/207027/EIS_UncommonHSatLane_vfinal.pdf,http://schools.nyc.gov/NR/rdonlyres/6BEFF474-86B0-4E17-A9D7-B82ADB4F8A12/207028/UAstay_NewUncommonBUP_K420_vfinal1.pdf,K420
138,BUP Revision @ M050,2017.0, -,http://schools.nyc.gov/NR/rdonlyres/6BEFF474-86B0-4E17-A9D7-B82ADB4F8A12/208386/M050_BUPRevision_vFinal.pdf,M050
141,BUP Revision @K111,2017.0, -,http://schools.nyc.gov/NR/rdonlyres/6BEFF474-86B0-4E17-A9D7-B82ADB4F8A12/208445/K111_BUPRevision_vfinal.pdf,K111
144,Revised Building Utilization Plan: Success Academy Charter School – Crown Heights (84K741) with Existing School P.S. 161 The Crown (17K161) in Building K161 Beginning in 2014-2015,2017.0, -,http://schools.nyc.gov/NR/rdonlyres/3B8792DE-D004-46EC-923A-439368843469/205574/K161_BUPRevision_vfinal.pdf,K161
146,"Revised Building Utilization Plan: Co-Location of Success Academy Charter School – Manhattan 1 (84MTBD) with Existing Schools Gramercy Arts High School (02M374), High School for Language and Diplomacy (02M399), International High School at Union Square (02M438), Academy for Software Engineering (02M546), Union Square Academy for Health Sciences (02M533), and Washington Irving High School (02M460) in Building M460",2017.0, -,http://schools.nyc.gov/NR/rdonlyres/3B8792DE-D004-46EC-923A-439368843469/206583/M460_BUPRevision_vFinal.pdf,M460
152,"Revised Building Utilization Plan: Re-Siting and Co-Location of Stephen T. Mather Building Arts & Craftsmanship High School (02M139) in Building M625 with Existing Schools High School of Graphic Communication Arts (02M625), Business of Sports School (02M393), Urban Assembly Gateway School for Technology (02M507) and Success Academy Charter School – Hell’s Kitchen (84M170), and New School Success Academy Charter School – Manhattan Middle School (84MTBD) Beginning in the 2014-2015 School Year",2017.0, -,http://schools.nyc.gov/NR/rdonlyres/3B8792DE-D004-46EC-923A-439368843469/206582/M625_BUPRevision_vFinal.pdf,M625
157,"Revised Building Utilization Plan: Expansion of Success Academy Charter School - Cobble Hill (84K129) in Building K293 with Brooklyn School for Global Studies (15K429), School for International Studies (15K497), and a District 75 Program (75K368) Beginning in the 2016-2017 School Year",2017.0, -,http://schools.nyc.gov/NR/rdonlyres/3B8792DE-D004-46EC-923A-439368843469/205578/K293_BUPRevision_vfinal.pdf,K293
161,"Revised Building Utilization Plan: Expansion of Success Academy Charter School - Williamsburg (84K182) in Building K050 with J.H.S. 50 John D. Wells (14K050), Beginning in the 2016-2017 School Year",2017.0, -,http://schools.nyc.gov/NR/rdonlyres/3B8792DE-D004-46EC-923A-439368843469/205577/K050_BUPRevision_vfinal.pdf,K050
163,"Revised Building Utilization Plan: New Public Charter School, Success Academy Charter School – Brooklyn 6 (84KTBD) with Existing School P.S. 138 - Brooklyn (17K138) in Building K138",2017.0, -,http://schools.nyc.gov/NR/rdonlyres/3B8792DE-D004-46EC-923A-439368843469/205576/K138_BUPRevision_vfinal.pdf,K138
165,Revised Building Utilization Plan: New Public Charter School Success Academy Charter School – Brooklyn 5 (84KTBD) with Existing Schools Dr. Susan S. McKinney Secondary School of the Arts (13K265) and a District 75 Inclusion Program P369K@265K (75K369) in Building K265,2017.0, -,http://schools.nyc.gov/NR/rdonlyres/3B8792DE-D004-46EC-923A-439368843469/205575/K265_BUPRevision_vfinal.pdf,K265
168,The Proposed Temporary Re-siting and Co-location of a Portion of P.S. 131 Abigail Adams (29Q131) with P.S. 35 Nathaniel Woodhull (29Q035) in Building Q035 for Four Years Beginning in the 2017-2018 School Year,2021.0,http://schools.nyc.gov/NR/rdonlyres/3B8792DE-D004-46EC-923A-439368843469/205622/EISTempResitingofPS131Q035_vFinal.pdf,,Q035
171,The Proposed Grade Expansion of P.S. 130 (25Q130) from a K-3 to a K-5 School Beginning in the 2017-2018 School Year,2022.0,http://schools.nyc.gov/NR/rdonlyres/3B8792DE-D004-46EC-923A-439368843469/205579/EISExpansionofPS130_vFinal.pdf,,Q130
173,The Proposed Consolidation of P.S. 325 (06M325) with P.S. 192 Jacob H. Schiff (06M192) in Building M192 Beginning in the 2017- 2018 School Year,2017.0,http://schools.nyc.gov/NR/rdonlyres/3B8792DE-D004-46EC-923A-439368843469/205548/ProposedConsolidationofM325andM192EISvfinal.pdf,,M192
176,The Proposed Re-Siting of Dual Language Middle School (03M247) and Co-Location with The Computer School (03M245) and The Anderson School (03M334) in Building M044 Beginning in the 2017- 2018 School Year,2017.0,http://schools.nyc.gov/NR/rdonlyres/3B8792DE-D004-46EC-923A-439368843469/205678/ReSitingof03M247toM044_vFinal2.pdf,,M044
180,The Proposed Re-Siting of P.S. 452 (03M452) to Building M191 in the 2017-2018 School Year,2022.0,http://schools.nyc.gov/NR/rdonlyres/3B8792DE-D004-46EC-923A-439368843469/205662/03M452ResitingtoM191EISvFinal.pdf,,M191
182,"The Proposed Temporary Co-location of New School M.S. 297 with Existing School M.S. 260 Clinton School for Writers & Artists in Building M868 for the 2017-2018 School Year, and the Proposed Re-siting and Co-location of M.S. 297 with a District 75 School in New Building M323 Beginning in the 2018-2019 School Year",2018.0,http://schools.nyc.gov/NR/rdonlyres/3B8792DE-D004-46EC-923A-439368843469/205545/02M297TemporaryColocationandResitingvfinal.pdf,,M868
184,The Proposed Consolidation of The School for Democracy and Leadership (17K533) with The School for Human Rights (17K531) and Truncation of Grades 6-8 at the Consolidated School for Human Rights in Building K470 Beginning in the 2017-2018 School Year,2019.0,http://schools.nyc.gov/NR/rdonlyres/3B8792DE-D004-46EC-923A-439368843469/205632/K531K533ConsolidationGradualTruncation_EIS_vfinal.pdf,,K470
189,The Proposed Opening and Co-Location of Success Academy Charter School – Brooklyn Middle School 2 with M.S. 246 Walt Whitman (17K246) and Alternative Learning Center – M.S. 246 (88K993) in Building K246 Beginning in the 2017-2018 School Year,2020.0,http://schools.nyc.gov/NR/rdonlyres/3B8792DE-D004-46EC-923A-439368843469/205572/EIS_SAMiddleSchoolBrooklyn2_K246_vfinal.pdf,http://schools.nyc.gov/NR/rdonlyres/3B8792DE-D004-46EC-923A-439368843469/205573/BUP_SAMiddleSchoolBrooklyn2_K246_vfinal.pdf,K246
192,The Proposed Opening and Co-Location of Success Academy Charter School – Brooklyn Middle School 1 with P.S. 297 Abraham Stockton (14K297) in Building K297 Beginning in the 2017-2018 School Year,2020.0,http://schools.nyc.gov/NR/rdonlyres/3B8792DE-D004-46EC-923A-439368843469/205569/EIS_SAMiddleSchoolBrooklyn1_K297_vfinal.pdf,http://schools.nyc.gov/NR/rdonlyres/3B8792DE-D004-46EC-923A-439368843469/205570/BUP_SAMiddleSchoolBrooklyn1_K297_vfinal.pdf,K297
194,The Proposed Grade Truncation of P.S. 282 Park Slope (13K282) in Building K282 from a K-8 School to a K-5 School Beginning in the 2018-2019 School Year,2020.0,http://schools.nyc.gov/NR/rdonlyres/AF4EDFE0-3732-44BD-8E59-76E7105C47E8/205556/13K282_Grade_Truncation_EIS_vrevised_Final.pdf,,K282
195,The Proposed Grade Truncation of P.S. 45 Clarence Witherspoon (27Q045) from a K-6 School to a K-5 School in the 2017-2018 School Year,2017.0,http://schools.nyc.gov/NR/rdonlyres/AF4EDFE0-3732-44BD-8E59-76E7105C47E8/204167/27Q045_Grade_Truncation_EIS_vfinal.pdf,,Q045
196,The Proposed Temporary Partial Re-siting and Co-location of P.S. 19 Marino Jeantet (24Q019) with P.S. 211 Elm Tree Elementary (24Q211) in Building Q298 Beginning in the 2017-2018 School Year,2018.0,http://schools.nyc.gov/NR/rdonlyres/AF4EDFE0-3732-44BD-8E59-76E7105C47E8/204165/EISResitingofPS19Q298_vFinal.pdf,,Q298
202,The Proposed Temporary Partial Re-siting of P.S. 143 Louis Armstrong (24Q143) to Building Q269 Beginning in the 2017- 2018 School Year,2020.0,http://schools.nyc.gov/NR/rdonlyres/AF4EDFE0-3732-44BD-8E59-76E7105C47E8/204163/EISResitingofPS143Q269_vFinal.pdf,,Q269
206,The Proposed Temporary Partial Re-siting of P.S. 143 Louis Armstrong (24Q143) to Building Q269 Beginning in the 2017- 2018 School Year,2019.0,http://schools.nyc.gov/NR/rdonlyres/AF4EDFE0-3732-44BD-8E59-76E7105C47E8/204163/EISResitingofPS143Q269_vFinal.pdf,,Q269
209,The Proposed Grade Truncation of Teachers Preparatory High School (23K697) from a Secondary School to a High School Beginning in the 2017-2018 School Year,2019.0,http://schools.nyc.gov/NR/rdonlyres/AF4EDFE0-3732-44BD-8E59-76E7105C47E8/204163/EISResitingofPS143Q269_vFinal.pdf,,K175
210,The Proposed Grade Truncation of Teachers Preparatory High School (23K697) from a Secondary School to a High School Beginning in the 2017-2018 School Year,2019.0,http://schools.nyc.gov/NR/rdonlyres/AF4EDFE0-3732-44BD-8E59-76E7105C47E8/204255/23K697_Grade_Truncation_EIS_vfinal.pdf,,K175
211,The Proposed Re-Siting and Co-Location of I.S. 381 (22K381) with J.H.S. 240 Andries Hudde (22K240) in Building K240 Beginning in the 2017-2018 School Year,2017.0,http://schools.nyc.gov/NR/rdonlyres/AF4EDFE0-3732-44BD-8E59-76E7105C47E8/204169/Resitingof22K381toK240EIS_vfinal.pdf,,K240
213,The Proposed Re-siting and Co-location of the Elementary School Grades of Uncommon Kings Collegiate Charter School (84K608) to Building K232 with East Flatbush Community Research School (18K581) and Middle School of Marketing and Legal Studies (18K598) Beginning in the 2017- 2018 School Year,2020.0,http://schools.nyc.gov/NR/rdonlyres/AF4EDFE0-3732-44BD-8E59-76E7105C47E8/204201/EIS_UncommonKingsCollegiatetoK232_vfinal.pdf,http://schools.nyc.gov/NR/rdonlyres/AF4EDFE0-3732-44BD-8E59-76E7105C47E8/204202/BUP_UncommonKingsCollegiateatK232_vfinal.pdf,K232
217,The Proposed Consolidation of Arts and Media Preparatory Academy (18K589) with Victory Collegiate High School (18K576) in Building K515 Beginning in the 2017-2018 School Year,2020.0,http://schools.nyc.gov/NR/rdonlyres/AF4EDFE0-3732-44BD-8E59-76E7105C47E8/204184/18K576_Consolidation_w_18K589_vfinal.pdf,http://schools.nyc.gov/NR/rdonlyres/AF4EDFE0-3732-44BD-8E59-76E7105C47E8/204186/BUP_South_Shore_Consolidation_K515_vfinal.pdf,K515
