,title,at_scale_year,eis_url,bup_url,bldg_id
0,The Proposed Consolidation of I.S. 218 Salome Urena (06M218) with Middle School 322 (06M322) in Building M218 Beginning in the 2018-2019 School Year,2018.0,http://schools.nyc.gov/NR/rdonlyres/FDA2ECC2-7E6B-4D29-9F23-4791CA5EA12C/219596/IS218andMS322consolidationEIS_vfinal.pdf,,M218
3,The Proposed Re-siting of a Portion of Teachers College Community School (05M517) to M484 Beginning in the 2018-2019 School Year,2019.0,http://schools.nyc.gov/NR/rdonlyres/FDA2ECC2-7E6B-4D29-9F23-4791CA5EA12C/219594/TCCSresitingvfinal.pdf,,M484
5,The Proposed Consolidation of Global Technology Preparatory (04M406) with P.S. 7 Samuel Stern (04M007) in Building M007 Beginning in the 2018-2019 School Year,2018.0,http://schools.nyc.gov/NR/rdonlyres/FDA2ECC2-7E6B-4D29-9F23-4791CA5EA12C/219581/PS7andGlobalTechnologyConsolidationEIS_vfinal.pdf,,M007
7,The Proposed Consolidation of The Alain L. Locke Magnet School for Environmental Stewardship (03M208) with P.S. 185 - The Early Childhood Discovery and Design Magnet School (03M185) in Tandem Building M185/M208 Beginning in the 2018-2019 School Year,2018.0,http://schools.nyc.gov/NR/rdonlyres/FDA2ECC2-7E6B-4D29-9F23-4791CA5EA12C/219536/03M208_03M185consolidation_vfinal.pdf,http://schools.nyc.gov/NR/rdonlyres/FDA2ECC2-7E6B-4D29-9F23-4791CA5EA12C/219563/M185M208BUPvfinal1.pdf,M185
8,The Proposed Consolidation of The Alain L. Locke Magnet School for Environmental Stewardship (03M208) with P.S. 185 - The Early Childhood Discovery and Design Magnet School (03M185) in Tandem Building M185/M208 Beginning in the 2018-2019 School Year,2018.0,http://schools.nyc.gov/NR/rdonlyres/FDA2ECC2-7E6B-4D29-9F23-4791CA5EA12C/219536/03M208_03M185consolidation_vfinal.pdf,http://schools.nyc.gov/NR/rdonlyres/FDA2ECC2-7E6B-4D29-9F23-4791CA5EA12C/219563/M185M208BUPvfinal1.pdf,M208
15,The Proposed Grade Truncation of P.S. 165 Robert E. Simon (03M165) from a K-8 School to a K-5 School Beginning in the 2018-2019 School Year,2018.0,http://schools.nyc.gov/NR/rdonlyres/FDA2ECC2-7E6B-4D29-9F23-4791CA5EA12C/219292/PS165TruncationEIS_vfinal.pdf,,M165
17,"The Proposed Opening and Co-location of Urban Assembly Charter School for Computer Science (84XTBD) with Pan American International High School (12X388), Metropolitan Soundview High School (12X521), and High School of World Cultures (12X550) in Building X420 Beginning in the 2018-2019 School Year",2021.0,http://schools.nyc.gov/NR/rdonlyres/FDA2ECC2-7E6B-4D29-9F23-4791CA5EA12C/219602/EIS_UAinX420_vfinal.pdf,http://schools.nyc.gov/NR/rdonlyres/FDA2ECC2-7E6B-4D29-9F23-4791CA5EA12C/219604/UAinX420BUP_vfinal.pdf,X420
22,The Proposed Re-siting and Consolidation of P.S. 361 East Flatbush Early Childhood School (22K361) and P.S. 269 Nostrand (22K269) in Building K269 Beginning in the 2018-2019 School Year,2018.0,http://schools.nyc.gov/NR/rdonlyres/FDA2ECC2-7E6B-4D29-9F23-4791CA5EA12C/219606/EISconsolidation361_269_vfinal.pdf,,K269
24,The Proposed Opening and Co-location of the Elementary School Grades of Achievement First Voyager Charter School (84K876) with P.S. 91 The Albany Avenue School (17K091) in Buildings K091 and K891 Beginning in the 2018-2019 School Year,2021.0,http://schools.nyc.gov/NR/rdonlyres/FDA2ECC2-7E6B-4D29-9F23-4791CA5EA12C/219591/AFESinK091EISvfinal.pdf,http://schools.nyc.gov/NR/rdonlyres/FDA2ECC2-7E6B-4D29-9F23-4791CA5EA12C/219592/AFESatK091BUP_vFinal.pdf,K091
26,"The Proposed Re-Siting and Co-location of Grades 6-8 of Ember Charter School for Mindful Education, Innovation and Transformation (84K406) with P.S. 262 (16K262) in Building K262 Beginning in the 2018-2019 School Year",2019.0,http://schools.nyc.gov/NR/rdonlyres/FDA2ECC2-7E6B-4D29-9F23-4791CA5EA12C/219599/EmberEIS_vfinal.pdf,http://schools.nyc.gov/NR/rdonlyres/FDA2ECC2-7E6B-4D29-9F23-4791CA5EA12C/219600/EmberBUP_vfinal.pdf,K262
